# x_a f_a(xa) f_a_ohne(xa)
413830 1.69166e-09 1.87818e-09
414820 1.88311e-09 1.87146e-09
415810 1.83218e-09 1.86478e-09
416800 1.84446e-09 1.85814e-09
417790 1.9208e-09 1.85154e-09
418780 1.79438e-09 1.84497e-09
419770 1.87055e-09 1.83845e-09
420760 1.82462e-09 1.83197e-09
421750 1.79756e-09 1.82552e-09
422740 1.80542e-09 1.81911e-09
423730 1.8517e-09 1.81274e-09
424720 1.84744e-09 1.80641e-09
425710 1.69243e-09 1.80011e-09
426700 1.85847e-09 1.79385e-09
427690 1.7645e-09 1.78762e-09
428680 1.77789e-09 1.78143e-09
429670 1.84426e-09 1.77528e-09
430660 1.84679e-09 1.76916e-09
431650 1.81939e-09 1.76308e-09
432640 1.83672e-09 1.75703e-09
433630 1.75115e-09 1.75102e-09
434620 1.86473e-09 1.74504e-09
435610 1.75186e-09 1.73909e-09
436600 1.58639e-09 1.73318e-09
437590 1.78261e-09 1.7273e-09
438580 1.60091e-09 1.72146e-09
439570 1.63837e-09 1.71564e-09
440560 1.68484e-09 1.70986e-09
441550 1.76071e-09 1.70412e-09
442540 1.7141e-09 1.6984e-09
443530 1.71016e-09 1.69272e-09
444520 1.72984e-09 1.68707e-09
445510 1.70235e-09 1.68145e-09
446500 1.63823e-09 1.67586e-09
447490 1.6351e-09 1.6703e-09
448480 1.55853e-09 1.66477e-09
449470 1.6491e-09 1.65927e-09
450460 1.61259e-09 1.65381e-09
451450 1.77698e-09 1.64837e-09
452440 1.72088e-09 1.64296e-09
453430 1.62208e-09 1.63759e-09
454420 1.5595e-09 1.63224e-09
455410 1.56547e-09 1.62692e-09
456400 1.54174e-09 1.62163e-09
457390 1.63371e-09 1.61636e-09
458380 1.59838e-09 1.61113e-09
459370 1.59855e-09 1.60593e-09
460360 1.74026e-09 1.60075e-09
461350 1.56555e-09 1.5956e-09
462340 1.58502e-09 1.59048e-09
463330 1.62817e-09 1.58538e-09
464320 1.56678e-09 1.58031e-09
465310 1.55802e-09 1.57527e-09
466300 1.59019e-09 1.57026e-09
467290 1.5938e-09 1.56527e-09
468280 1.36262e-09 1.56031e-09
469270 1.53403e-09 1.55537e-09
470260 1.58668e-09 1.55047e-09
471250 1.60708e-09 1.54558e-09
472240 1.61469e-09 1.54073e-09
473230 1.52178e-09 1.53589e-09
474220 1.51128e-09 1.53109e-09
475210 1.6023e-09 1.5263e-09
476200 1.37055e-09 1.52155e-09
477190 1.56325e-09 1.51681e-09
478180 1.4592e-09 1.51211e-09
479170 1.51704e-09 1.50742e-09
480160 1.56454e-09 1.50276e-09
481150 1.51383e-09 1.49813e-09
482140 1.5857e-09 1.49351e-09
483130 1.33809e-09 1.48893e-09
484120 1.3508e-09 1.48436e-09
485110 1.40301e-09 1.47982e-09
486100 1.42609e-09 1.4753e-09
487090 1.40875e-09 1.47081e-09
488080 1.5246e-09 1.46633e-09
489070 1.41679e-09 1.46188e-09
490060 1.35327e-09 1.45746e-09
491050 1.37825e-09 1.45305e-09
492040 1.55856e-09 1.44867e-09
493030 1.42464e-09 1.44431e-09
494020 1.44973e-09 1.43997e-09
495010 1.4665e-09 1.43565e-09
496000 1.48799e-09 1.43135e-09
496990 1.37649e-09 1.42708e-09
497980 1.37297e-09 1.42283e-09
498970 1.49856e-09 1.41859e-09
499960 1.38385e-09 1.41438e-09
500950 1.38472e-09 1.41019e-09
501940 1.51613e-09 1.40602e-09
502930 1.3909e-09 1.40187e-09
503920 1.34128e-09 1.39774e-09
504910 1.31496e-09 1.39363e-09
505900 1.5059e-09 1.38954e-09
506890 1.36728e-09 1.38548e-09
507880 1.44982e-09 1.38143e-09
508870 1.39812e-09 1.3774e-09
509860 1.46287e-09 1.37339e-09
510850 1.34037e-09 1.3694e-09
511840 1.32644e-09 1.36543e-09
512830 1.38787e-09 1.36147e-09
513820 1.33608e-09 1.35754e-09
514810 1.44536e-09 1.35363e-09
515800 1.37132e-09 1.34973e-09
516790 1.36627e-09 1.34585e-09
517780 1.45774e-09 1.342e-09
518770 1.30899e-09 1.33816e-09
519760 1.35904e-09 1.33434e-09
520750 1.2983e-09 1.33053e-09
521740 1.31502e-09 1.32675e-09
522730 1.29853e-09 1.32298e-09
523720 1.41665e-09 1.31923e-09
524710 1.42613e-09 1.3155e-09
525700 1.31516e-09 1.31178e-09
526690 1.27699e-09 1.30809e-09
527680 1.30248e-09 1.30441e-09
528670 1.33278e-09 1.30075e-09
529660 1.34403e-09 1.2971e-09
530650 1.3282e-09 1.29347e-09
531640 1.25283e-09 1.28986e-09
532630 1.31246e-09 1.28627e-09
533620 1.31081e-09 1.28269e-09
534610 1.15202e-09 1.27913e-09
535600 1.29864e-09 1.27558e-09
536590 1.32471e-09 1.27205e-09
537580 1.33545e-09 1.26854e-09
538570 1.35395e-09 1.26505e-09
539560 1.21028e-09 1.26157e-09
540550 1.21284e-09 1.2581e-09
541540 1.17956e-09 1.25465e-09
542530 1.17977e-09 1.25122e-09
543520 1.32488e-09 1.2478e-09
544510 1.32604e-09 1.2444e-09
545500 1.32137e-09 1.24102e-09
546490 1.33872e-09 1.23764e-09
547480 1.23975e-09 1.23429e-09
548470 1.31425e-09 1.23095e-09
549460 1.30578e-09 1.22762e-09
550450 1.14585e-09 1.22431e-09
551440 1.275e-09 1.22102e-09
552430 1.3161e-09 1.21774e-09
553420 1.16403e-09 1.21447e-09
554410 1.16412e-09 1.21122e-09
555400 1.20851e-09 1.20798e-09
556390 1.2692e-09 1.20476e-09
557380 1.29648e-09 1.20155e-09
558370 1.2289e-09 1.19836e-09
559360 1.24055e-09 1.19518e-09
560350 1.10714e-09 1.19201e-09
561340 1.22913e-09 1.18886e-09
562330 1.06385e-09 1.18572e-09
563320 1.21315e-09 1.1826e-09
564310 1.09225e-09 1.17949e-09
565300 1.14358e-09 1.17639e-09
566290 1.24851e-09 1.17331e-09
567280 1.20963e-09 1.17024e-09
568270 1.19473e-09 1.16718e-09
569260 1.22509e-09 1.16414e-09
570250 1.15533e-09 1.1611e-09
571240 1.07264e-09 1.15809e-09
572230 1.13914e-09 1.15508e-09
573220 1.20906e-09 1.15209e-09
574210 1.13317e-09 1.14911e-09
575200 1.07718e-09 1.14615e-09
576190 1.04919e-09 1.1432e-09
577180 1.13323e-09 1.14026e-09
578170 1.30208e-09 1.13733e-09
579160 1.28239e-09 1.13441e-09
580150 1.10214e-09 1.13151e-09
581140 1.10626e-09 1.12862e-09
582130 1.22785e-09 1.12574e-09
583120 1.12368e-09 1.12288e-09
584110 1.07539e-09 1.12002e-09
585100 1.1247e-09 1.11718e-09
586090 1.04689e-09 1.11435e-09
587080 1.08287e-09 1.11154e-09
588070 1.05496e-09 1.10873e-09
589060 1.1851e-09 1.10594e-09
590050 1.10299e-09 1.10315e-09
591040 1.04956e-09 1.10038e-09
592030 1.11294e-09 1.09762e-09
593020 1.09594e-09 1.09488e-09
594010 1.13081e-09 1.09214e-09
595000 1.06189e-09 1.08942e-09
595990 1.06024e-09 1.0867e-09
596980 1.07536e-09 1.084e-09
597970 1.08365e-09 1.08131e-09
598960 1.02449e-09 1.07863e-09
599950 1.11925e-09 1.07596e-09
