# x_b f_b(xb) f_b_ohne(xb)
4.4626e-05 0 2.2313e-05
4.4825e-05 0 2.24125e-05
4.5024e-05 0 2.2512e-05
4.5223e-05 0 2.26115e-05
4.5422e-05 0 2.2711e-05
4.5621e-05 0 2.28105e-05
4.582e-05 0 2.291e-05
4.6019e-05 0 2.30095e-05
4.6218e-05 0 2.3109e-05
4.6417e-05 0 2.32085e-05
4.6616e-05 0 2.3308e-05
4.6815e-05 0 2.34075e-05
4.7014e-05 0 2.3507e-05
4.7213e-05 0 2.36065e-05
4.7412e-05 0 2.3706e-05
4.7611e-05 0 2.38055e-05
4.781e-05 0 2.3905e-05
4.8009e-05 0 2.40045e-05
4.8208e-05 0 2.4104e-05
4.8407e-05 0 2.42035e-05
4.8606e-05 0 2.4303e-05
4.8805e-05 0 2.44025e-05
4.9004e-05 0 2.4502e-05
4.9203e-05 0 2.46015e-05
4.9402e-05 0 2.4701e-05
4.9601e-05 0 2.48005e-05
4.98e-05 0 2.49e-05
4.9999e-05 0 2.49995e-05
5.0198e-05 0 2.5099e-05
5.0397e-05 0 2.51985e-05
5.0596e-05 0 2.5298e-05
5.0795e-05 0 2.53975e-05
5.0994e-05 0 2.5497e-05
5.1193e-05 0 2.55965e-05
5.1392e-05 0 2.5696e-05
5.1591e-05 0 2.57955e-05
5.179e-05 0 2.5895e-05
5.1989e-05 0 2.59945e-05
5.2188e-05 0 2.6094e-05
5.2387e-05 0 2.61935e-05
5.2586e-05 0 2.6293e-05
5.2785e-05 0 2.63925e-05
5.2984e-05 0 2.6492e-05
5.3183e-05 0 2.65915e-05
5.3382e-05 0 2.6691e-05
5.3581e-05 0 2.67905e-05
5.378e-05 0 2.689e-05
5.3979e-05 0 2.69895e-05
5.4178e-05 0 2.7089e-05
5.4377e-05 0 2.71885e-05
5.4576e-05 0 2.7288e-05
5.4775e-05 0 2.73875e-05
5.4974e-05 0 2.7487e-05
5.5173e-05 0 2.75865e-05
5.5372e-05 0 2.7686e-05
5.5571e-05 0 2.77855e-05
5.577e-05 0 2.7885e-05
5.5969e-05 0 2.79845e-05
5.6168e-05 0 2.8084e-05
5.6367e-05 0 2.81835e-05
5.6566e-05 0 2.8283e-05
5.6765e-05 0 2.83825e-05
5.6964e-05 0 2.8482e-05
5.7163e-05 0 2.85815e-05
5.7362e-05 0 2.8681e-05
5.7561e-05 0 2.87805e-05
5.776e-05 0 2.888e-05
5.7959e-05 0 2.89795e-05
5.8158e-05 0 2.9079e-05
5.8357e-05 0 2.91785e-05
5.8556e-05 0 2.9278e-05
5.8755e-05 0 2.93776e-05
5.8954e-05 0 2.94771e-05
5.9153e-05 0 2.95766e-05
5.9352e-05 0 2.96761e-05
5.9551e-05 0 2.97756e-05
5.975e-05 0 2.98751e-05
5.9949e-05 0 2.99746e-05
6.0148e-05 0 3.00741e-05
6.0347e-05 0 3.01736e-05
6.0546e-05 0 3.02731e-05
6.0745e-05 0 3.03726e-05
6.0944e-05 0 3.04721e-05
6.1143e-05 0 3.05716e-05
6.1342e-05 0 3.06711e-05
6.1541e-05 0 3.07706e-05
6.174e-05 0 3.08701e-05
6.1939e-05 0 3.09695e-05
6.2138e-05 0 3.1069e-05
6.2337e-05 0 3.11685e-05
6.2536e-05 0 3.1268e-05
6.2735e-05 0 3.13675e-05
6.2934e-05 0 3.1467e-05
6.3133e-05 0 3.15665e-05
6.3332e-05 0 3.1666e-05
6.3531e-05 0 3.17655e-05
6.373e-05 0 3.1865e-05
6.3929e-05 0 3.19645e-05
6.4128e-05 0 3.2064e-05
6.4327e-05 0 3.21635e-05
6.4526e-05 0 3.2263e-05
6.4725e-05 0 3.23625e-05
6.4924e-05 0 3.2462e-05
6.5123e-05 0 3.25615e-05
6.5322e-05 0 3.2661e-05
6.5521e-05 0 3.27605e-05
6.572e-05 0 3.286e-05
6.5919e-05 0 3.29595e-05
6.6118e-05 0 3.3059e-05
6.6317e-05 0 3.31585e-05
6.6516e-05 0 3.3258e-05
6.6715e-05 0 3.33575e-05
6.6914e-05 0 3.3457e-05
6.7113e-05 0 3.35565e-05
6.7312e-05 0 3.3656e-05
6.7511e-05 0 3.37555e-05
